feature,importance
fainting,1.6961509e-05
disturbance of memory,1.6919714e-05
fatigue,1.6665157e-05
skin swelling,1.6584485e-05
weakness,1.656632e-05
throat redness,1.638332e-05
retention of urine,1.6178743e-05
low back pain,1.6122176e-05
diarrhea,1.5790567e-05
cramps and spasms,1.5498958e-05
jaw swelling,1.5465208e-05
swelling of scrotum,1.473778e-05
skin rash,1.4720427e-05
diminished vision,1.4624319e-05
palpitations,1.44958685e-05
drug abuse,1.4427134e-05
sharp chest pain,1.4359158e-05
"skin dryness, peeling, scaliness, or roughness",1.4026936e-05
itchiness of eye,1.3966733e-05
vomiting,1.3866683e-05
shoulder weakness,1.3728907e-05
blood in urine,1.3591062e-05
back pain,1.3477476e-05
vaginal discharge,1.3471102e-05
dizziness,1.3160238e-05
fever,1.2934872e-05
hand or finger pain,1.2878458e-05
pain in eye,1.2801894e-05
toothache,1.2733749e-05
wrist pain,1.27187395e-05
loss of sensation,1.2681539e-05
delusions or hallucinations,1.2603e-05
cough,1.2496622e-05
depression,1.217112e-05
symptoms of eye,1.2088995e-05
spots or clouds in vision,1.191036e-05
eye redness,1.1725017e-05
nausea,1.13881e-05
itching of skin,1.1183991e-05
anxiety and nervousness,1.0800021e-05
arm pain,1.0599515e-05
knee swelling,1.0589596e-05
nasal congestion,9.951498e-06
shortness of breath,9.706235e-06
abnormal appearing skin,9.486384e-06
mouth pain,9.374322e-06
skin lesion,8.964953e-06
sharp abdominal pain,8.5475485e-06
lacrimation,8.407773e-06
depressive or psychotic symptoms,7.947756e-06
bleeding or discharge from nipple,5.4823768e-06
